                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.51202,                 3.2408,                0.92395,                0.01609,                0.98571,                0.09184,                0.07405,                0.31949,                 3.0177,                0.78687,                 0.0973,                 0.0003,                 0.0003
                      1,                0.41185,                 3.2007,                0.87616,                 0.0184,                0.98571,                0.12728,                0.11385,                0.25806,                 2.9861,                0.77671,               0.093693,             0.00069307,             0.00069307
                      2,                 0.4127,                  3.057,                0.86952,                0.01961,                      1,                0.20377,                0.18911,                0.25263,                 2.9587,                0.77384,               0.090078,              0.0010782,              0.0010782
                      3,                 0.3509,                 2.9525,                0.82906,                0.01901,                      1,                0.29231,                 0.2828,                0.25442,                 2.9173,                0.77281,               0.086455,              0.0014555,              0.0014555
                      4,                0.35389,                 2.7725,                0.84446,                0.01901,                      1,                0.33111,                0.31522,                0.28958,                 2.8655,                 0.7759,               0.082825,              0.0018248,              0.0018248
                      0,                0.51202,                 3.2408,                0.92395,                0.01609,                0.98571,                0.09184,                0.07405,                0.31949,                 3.0177,                0.78687,                 0.0973,                 0.0003,                 0.0003
                      1,                0.41229,                 3.1997,                0.87609,                0.01828,                0.98571,                0.12537,                0.11187,                0.25833,                 2.9869,                0.77701,               0.093697,             0.00069653,             0.00069653
                      2,                0.41316,                 3.0593,                0.86884,                0.01912,                      1,                0.19322,                0.18216,                0.25336,                 2.9598,                0.77391,               0.090089,              0.0010891,              0.0010891
                      3,                0.35539,                 2.9525,                 0.8285,                0.01889,                      1,                0.28478,                0.27658,                0.25557,                 2.9188,                0.77292,               0.086478,              0.0014777,              0.0014777
                      4,                0.36161,                 2.7737,                0.84458,                0.01852,                      1,                0.33953,                0.32448,                0.28454,                 2.8676,                0.77529,               0.082862,              0.0018624,              0.0018624
                      5,                 0.3603,                 2.5316,                0.84047,                0.01838,                      1,                0.34806,                 0.3292,                 0.2786,                 2.8332,                0.77483,               0.079243,              0.0022431,              0.0022431
                      6,                0.40286,                 2.3933,                0.84136,                 0.0173,                      1,                0.38119,                0.35531,                0.31845,                 2.7468,                0.77964,                0.07562,              0.0026198,              0.0026198
                      7,                0.43056,                 2.1444,                0.84676,                0.01706,                      1,                0.38559,                0.36129,                0.31339,                  2.699,                0.77823,               0.071993,              0.0029926,              0.0029926
                      8,                0.40487,                 1.9918,                0.84105,                0.01692,                      1,                 0.3987,                0.37568,                0.30587,                 2.6858,                0.77827,               0.068361,              0.0033614,              0.0033614
                      9,                0.43587,                  1.811,                 0.8447,                0.01791,                      1,                0.48326,                0.45678,                0.30168,                 2.6606,                0.79058,               0.064726,              0.0037263,              0.0037263
                     10,                0.46279,                 1.6632,                0.84144,                0.01915,                      1,                0.59765,                0.55337,                0.34425,                 2.5339,                0.81911,               0.061087,              0.0040871,              0.0040871
                     11,                 0.4455,                 1.5361,                0.83394,                0.74135,                0.17463,                0.64524,                0.59095,                0.37065,                  2.343,                0.84788,               0.057444,              0.0044441,              0.0044441
                     12,                 0.4888,                   1.48,                  0.865,                0.50005,                 0.5635,                0.66191,                0.60929,                0.36177,                 2.1181,                0.82479,               0.053797,              0.0047971,              0.0047971
                     13,                0.53347,                 1.4806,                0.88247,                0.75078,                0.59995,                0.68882,                 0.6112,                0.42759,                 2.0507,                0.91806,               0.050146,              0.0051461,              0.0051461
                     14,                0.44099,                 1.3208,                0.85693,                0.74924,                0.51734,                0.67883,                0.61074,                0.41429,                 2.0315,                0.85512,               0.046491,              0.0054911,              0.0054911
                     15,                0.51613,                 1.2263,                0.88305,                0.74924,                0.51734,                0.67883,                0.61074,                0.41429,                 2.0315,                0.85512,               0.042832,              0.0058322,              0.0058322
                     16,                0.50708,                 1.1936,                0.88026,                0.70885,                0.72475,                 0.7519,                0.66037,                0.44227,                 1.8307,                0.85422,               0.039169,              0.0061694,              0.0061694
                     17,                0.51033,                 1.1094,                0.87561,                0.70878,                   0.75,                0.84683,                0.78046,                0.39512,                 1.7435,                0.84836,               0.035503,              0.0065025,              0.0065025
                     18,                0.52463,                 1.1196,                0.86111,                0.70878,                   0.75,                0.84683,                0.78046,                0.39512,                 1.7435,                0.84836,               0.031832,              0.0068318,              0.0068318
                     19,                0.49614,                 1.0537,                0.89793,                0.75749,                0.99326,                0.93556,                0.84911,                0.46505,                   1.44,                0.89581,               0.028157,               0.007157,               0.007157
                     20,                0.48838,                 1.0387,                0.87539,                0.74481,                 0.9538,                0.99419,                0.85976,                0.59096,                 1.2798,                0.95824,               0.024478,              0.0074783,              0.0074783
                     21,                0.62869,                 1.0751,                0.92537,                0.74481,                 0.9538,                0.99419,                0.85976,                0.59096,                 1.2798,                0.95824,               0.020796,              0.0077956,              0.0077956
                     22,                0.66247,                 1.0103,                0.90602,                 0.7546,                0.91542,                0.99151,                0.87907,                0.48184,                  1.079,                0.88339,               0.017109,               0.008109,               0.008109
                     23,                0.64677,                0.99299,                0.89419,                 0.7546,                0.91542,                0.99151,                0.87907,                0.48184,                  1.079,                0.88339,               0.013418,              0.0084184,              0.0084184
                     24,                 0.6231,                0.94308,                0.90207,                0.93462,                 0.8016,                0.98366,                0.87661,                0.47799,                 1.0368,                0.84603,              0.0097239,              0.0087239,              0.0087239
                     25,                0.60916,                0.87647,                 0.8977,                0.93462,                 0.8016,                0.98366,                0.87661,                0.47799,                 1.0368,                0.84603,              0.0087625,              0.0087625,              0.0087625
                     26,                0.65583,                0.96909,                0.88181,                0.95903,                 0.9889,                  0.995,                0.89173,                0.49759,                 1.0369,                0.86123,              0.0087625,              0.0087625,              0.0087625
                     27,                0.63442,                0.91995,                0.88272,                0.95903,                 0.9889,                  0.995,                0.89173,                0.49759,                 1.0369,                0.86123,               0.008713,               0.008713,               0.008713
                     28,                 0.6096,                 0.8742,                0.88328,                0.95476,                      1,                  0.995,                0.90347,                0.42744,                0.86567,                0.83767,              0.0086635,              0.0086635,              0.0086635
                     29,                0.55543,                0.83982,                0.89648,                0.95476,                      1,                  0.995,                0.90347,                0.42744,                0.86567,                0.83767,               0.008614,               0.008614,               0.008614
                     30,                0.57467,                0.87738,                0.89636,                0.98387,                0.99983,                  0.995,                0.88065,                0.46745,                0.94137,                0.84015,              0.0085645,              0.0085645,              0.0085645
                     31,                0.54492,                0.79629,                0.87391,                0.98387,                0.99983,                  0.995,                0.88065,                0.46745,                0.94137,                0.84015,               0.008515,               0.008515,               0.008515
                     32,                 0.5611,                0.84492,                0.88037,                0.98946,                      1,                  0.995,                0.86113,                  0.479,                0.87192,                0.87209,              0.0084655,              0.0084655,              0.0084655
                     33,                0.57763,                0.93319,                0.89439,                0.98946,                      1,                  0.995,                0.86113,                  0.479,                0.87192,                0.87209,               0.008416,               0.008416,               0.008416
                     34,                0.58236,                0.85648,                0.87601,                0.99116,                      1,                  0.995,                0.91267,                0.41684,                0.75057,                0.83438,              0.0083665,              0.0083665,              0.0083665
                     35,                0.53433,                0.79776,                0.86283,                0.99116,                      1,                  0.995,                0.91267,                0.41684,                0.75057,                0.83438,               0.008317,               0.008317,               0.008317
                     36,                0.57205,                0.82541,                0.87435,                0.98447,                      1,                  0.995,                0.90892,                0.39642,                0.76102,                0.81494,              0.0082675,              0.0082675,              0.0082675
                     37,                0.49937,                0.79896,                0.87157,                0.98447,                      1,                  0.995,                0.90892,                0.39642,                0.76102,                0.81494,               0.008218,               0.008218,               0.008218
                     38,                0.52515,                0.80029,                0.86933,                0.98627,                      1,                  0.995,                0.89592,                0.45401,                0.78512,                0.82386,              0.0081685,              0.0081685,              0.0081685
                     39,                0.50891,                0.77395,                0.87922,                0.98627,                      1,                  0.995,                0.89592,                0.45401,                0.78512,                0.82386,               0.008119,               0.008119,               0.008119
                     40,                0.52224,                0.81601,                 0.8696,                0.99188,                      1,                  0.995,                0.90094,                0.40663,                0.69888,                0.81942,              0.0080695,              0.0080695,              0.0080695
                     41,                0.51063,                0.76167,                0.87628,                0.99188,                      1,                  0.995,                0.90094,                0.40663,                0.69888,                0.81942,                0.00802,                0.00802,                0.00802
                     42,                0.50043,                0.75127,                 0.8659,                0.99697,                      1,                  0.995,                0.91128,                0.39682,                0.66691,                 0.8213,              0.0079705,              0.0079705,              0.0079705
                     43,                0.49653,                0.76896,                0.87231,                0.99697,                      1,                  0.995,                0.91128,                0.39682,                0.66691,                 0.8213,               0.007921,               0.007921,               0.007921
                     44,                0.52792,                 0.7668,                0.87981,                0.99368,                      1,                  0.995,                0.91345,                0.37759,                0.67001,                0.82005,              0.0078715,              0.0078715,              0.0078715
                     45,                0.44523,                0.71987,                0.85815,                0.99368,                      1,                  0.995,                0.91345,                0.37759,                0.67001,                0.82005,               0.007822,               0.007822,               0.007822
                     46,                0.44917,                0.72536,                0.87013,                 0.9964,                      1,                  0.995,                0.87714,                0.46097,                0.73402,                 0.8359,              0.0077725,              0.0077725,              0.0077725
                     47,                0.53171,                0.75458,                0.85967,                 0.9964,                      1,                  0.995,                0.87714,                0.46097,                0.73402,                 0.8359,               0.007723,               0.007723,               0.007723
                     48,                0.51597,                0.83015,                0.88963,                0.98953,                      1,                  0.995,                0.91641,                0.39361,                 0.7385,                0.82133,              0.0076735,              0.0076735,              0.0076735
                     49,                0.43372,                0.70357,                0.85975,                0.98953,                      1,                  0.995,                0.91641,                0.39361,                 0.7385,                0.82133,               0.007624,               0.007624,               0.007624
