                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.47542,                 1.2469,                 3.1383,                0.90364,                0.01823,                      1,                0.20193,                0.19036,                0.01823,                      1,                 0.2049,                0.19577,                0.27909,                0.41673,                 3.0155,                0.78644,                 0.0919,                 0.0009,                 0.0009
                      1,                0.40612,                 0.6236,                 3.0929,                0.84234,                0.01726,                      1,                0.25009,                0.24424,                0.01726,                      1,                0.25184,                0.24517,                0.25775,                0.39262,                 2.9955,                0.78048,               0.082894,              0.0018937,              0.0018937
                      2,                0.40952,                0.53405,                 2.9621,                0.85461,                0.01657,                      1,                0.30507,                0.28805,                0.01657,                      1,                0.30507,                0.29189,                0.28798,                0.40768,                 2.9636,                0.78013,               0.073881,              0.0028809,              0.0028809
                      3,                0.46869,                0.47776,                 2.8973,                0.84155,                0.01619,                      1,                0.34357,                0.31207,                0.01619,                      1,                0.34357,                0.33051,                0.34288,                0.38117,                 2.9344,                0.78808,               0.064861,              0.0038614,              0.0038614
                      4,                0.53469,                0.43911,                 2.7606,                0.85557,                0.01592,                      1,                0.37577,                0.33668,                0.01592,                      1,                0.37577,                0.36249,                0.40822,                0.39529,                 2.8455,                0.79647,               0.055835,              0.0048353,              0.0048353
                      5,                0.53438,                0.45661,                 2.6646,                0.85574,                0.01576,                      1,                0.38521,                0.31212,                0.01576,                      1,                0.38521,                0.34852,                0.55701,                0.40624,                  2.692,                0.82425,               0.046803,              0.0058027,              0.0058027
                      6,                0.62543,                0.44724,                 2.5402,                0.87368,                0.01576,                      1,                0.38521,                0.31212,                0.01576,                      1,                0.38521,                0.34852,                0.55701,                0.40624,                  2.692,                0.82425,               0.037763,              0.0067634,              0.0067634
                      7,                0.65428,                0.44288,                 2.4352,                0.87577,                0.68464,                0.36313,                0.43176,                0.35416,                0.68464,                0.36313,                0.43176,                0.41298,                0.68382,                0.42604,                 2.3126,                0.87121,               0.028718,              0.0077175,              0.0077175
                      8,                0.67837,                0.51575,                 2.3908,                0.89356,                0.68464,                0.36313,                0.43176,                0.35416,                0.68464,                0.36313,                0.43176,                0.41298,                0.68382,                0.42604,                 2.3126,                0.87121,               0.019665,               0.008665,               0.008665
                      9,                0.71111,                0.48385,                 2.2802,                0.89382,                0.26436,                0.80469,                 0.4393,                0.36363,                0.26436,                0.80469,                 0.4393,                0.38671,                0.51039,                0.45404,                 1.9256,                0.81258,               0.010606,               0.009606,               0.009606
                     10,                0.74306,                   0.49,                 2.2152,                0.91769,                0.26436,                0.80469,                 0.4393,                0.36363,                0.26436,                0.80469,                 0.4393,                0.38671,                0.51039,                0.45404,                 1.9256,                0.81258,                0.00967,                0.00967,                0.00967
                     11,                0.70987,                0.48999,                 2.0772,                0.90064,                0.23304,                0.88571,                0.47684,                0.35322,                0.23304,                0.88571,                0.47684,                  0.448,                0.84256,                 0.4209,                 2.2435,                0.92021,                0.00967,                0.00967,                0.00967
                     12,                0.76409,                0.51352,                 2.0653,                0.92763,                0.23304,                0.88571,                0.47684,                0.35322,                0.23304,                0.88571,                0.47684,                  0.448,                0.84256,                 0.4209,                 2.2435,                0.92021,               0.009637,               0.009637,               0.009637
                     13,                0.77499,                0.61465,                 2.0876,                0.92152,                0.27532,                0.97857,                0.54632,                0.45502,                0.27532,                0.97857,                0.54632,                0.50933,                 0.5115,                0.52202,                    2.1,                0.86505,               0.009604,               0.009604,               0.009604
                     14,                0.69304,                0.62202,                   1.86,                0.90666,                0.27532,                0.97857,                0.54632,                0.45502,                0.27532,                0.97857,                0.54632,                0.50933,                 0.5115,                0.52202,                    2.1,                0.86505,               0.009571,               0.009571,               0.009571
                     15,                 0.6534,                0.59642,                 1.8409,                0.91776,                0.34396,                0.92857,                0.69132,                0.59363,                0.34396,                0.92857,                0.69132,                0.65246,                0.56684,                0.45772,                 1.9213,                 0.8793,               0.009538,               0.009538,               0.009538
                     16,                0.62891,                0.55952,                 1.7043,                0.90385,                0.34396,                0.92857,                0.69132,                0.59363,                0.34396,                0.92857,                0.69132,                0.65246,                0.56684,                0.45772,                 1.9213,                 0.8793,               0.009505,               0.009505,               0.009505
                     17,                 0.6591,                0.63681,                 1.7239,                0.90451,                0.69858,                0.88023,                0.86844,                0.73895,                0.69858,                0.88023,                0.86844,                0.80301,                0.59643,                0.37229,                  1.724,                0.89011,               0.009472,               0.009472,               0.009472
                     18,                0.71488,                0.50239,                 1.6504,                0.91896,                0.69858,                0.88023,                0.86844,                0.73895,                0.69858,                0.88023,                0.86844,                0.80301,                0.59643,                0.37229,                  1.724,                0.89011,               0.009439,               0.009439,               0.009439
                     19,                0.69915,                0.48076,                 1.6365,                0.95772,                 0.9258,                0.91958,                0.97281,                0.81661,                 0.9258,                0.91958,                0.97281,                0.92161,                0.62347,                0.35739,                 1.5153,                0.89224,               0.009406,               0.009406,               0.009406
                     20,                0.64636,                 0.3915,                 1.5369,                0.95293,                 0.9258,                0.91958,                0.97281,                0.81661,                 0.9258,                0.91958,                0.97281,                0.92161,                0.62347,                0.35739,                 1.5153,                0.89224,               0.009373,               0.009373,               0.009373
                     21,                0.69181,                0.45791,                 1.5804,                0.93695,                 0.9258,                0.91958,                0.97281,                0.81661,                 0.9258,                0.91958,                0.97281,                0.92161,                0.62347,                0.35739,                 1.5153,                0.89224,                0.00934,                0.00934,                0.00934
                     22,                0.73401,                0.48034,                 1.5287,                0.89148,                0.97077,                0.92933,                0.97834,                 0.8505,                0.97077,                0.92933,                0.97834,                0.91655,                0.50703,                0.38024,                 1.3041,                0.85137,               0.009307,               0.009307,               0.009307
                     23,                0.72502,                0.46435,                 1.5056,                0.91437,                0.97077,                0.92933,                0.97834,                 0.8505,                0.97077,                0.92933,                0.97834,                0.91655,                0.50703,                0.38024,                 1.3041,                0.85137,               0.009274,               0.009274,               0.009274
